,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,NST_B_Label
0,1678440574,1678440574,0.0,4e-06,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,1678440575,1678440575,1.023529,1.023533,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,1678440576,1678440576,2.047534,2.047539,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,1678440580,1678440580,6.143809,6.143813,5e-06,4,0,240,0,60.0,,60.0,,60.0,,398778966.6,0.0,0,0,0.0,,0.0,,0.0,,1.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1678440581,1678440581,7.167439,7.167443,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,1678440575,1678440575,0.887215,0.887215,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
7,1678440582,1678440582,8.191284,8.191289,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,1678440586,1678440586,12.287657,12.287661,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,1678440587,1678440587,13.311332,13.311336,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
10,1678440588,1678440588,14.335211,14.335215,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,1678440581,1678440581,6.467524,6.469344,0.001821,2,0,72,0,36.0,,36.0,,36.0,,316335.948,0.0,8,0,4.0,,4.0,,4.0,,0.001819849,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
12,1678440593,1678440593,18.431711,18.431716,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,1678440594,1678440594,19.455077,19.455081,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,1678440584,1678440584,9.849035,9.849035,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
16,1678440595,1678440595,20.478969,20.478974,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,1678440583,1678440583,9.293089,9.29309,2e-06,0,2,0,72,,36.0,,36.0,,36.0,0.0,262762586.9,0,16,,8.0,,8.0,,8.0,,1.19e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,0
18,1678440583,1678440583,9.263216,9.263218,3e-06,0,2,0,72,,36.0,,36.0,,36.0,0.0,198118654.7,0,16,,8.0,,8.0,,8.0,,1.91e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,0
19,1678440583,1678440583,9.274771,9.274772,2e-06,0,2,0,72,,36.0,,36.0,,36.0,0.0,294829079.3,0,16,,8.0,,8.0,,8.0,,9.54e-07,,,,,,,,,,,,,,,,,,0.0,,,,,,,0
20,1678440583,1678440583,9.283856,9.283856,1e-06,0,2,0,72,,36.0,,36.0,,36.0,0.0,576000000.0,0,16,,8.0,,8.0,,8.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0
21,1678440583,1678440583,9.298548,9.298548,1e-06,0,2,0,72,,36.0,,36.0,,36.0,0.0,576000000.0,0,16,,8.0,,8.0,,8.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0
22,1678440583,1678440583,9.302879,9.302879,1e-06,0,1,0,36,,36.0,,36.0,,36.0,0.0,288000000.0,0,8,,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0
23,1678440599,1678440599,24.575435,24.575439,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,1678440600,1678440600,25.598792,25.598794,3e-06,4,0,240,0,60.0,,60.0,,60.0,,660395515.8,0.0,0,0,0.0,,0.0,,0.0,,6.36e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,1678440600,1678440600,25.64617,25.646798,0.000629,3,0,351,0,117.0,,117.0,,117.0,,4464267.705,0.0,0,0,0.0,,0.0,,0.0,,0.000313997,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,1678440601,1678440601,26.622777,26.622778,2e-06,4,0,240,0,60.0,,60.0,,60.0,,982763597.7,0.0,0,0,0.0,,0.0,,0.0,,3.18e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,1678440605,1678440605,30.719249,30.719254,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,1678440606,1678440606,31.742782,31.742786,5e-06,4,0,240,0,60.0,,60.0,,60.0,,398778966.6,0.0,0,0,0.0,,0.0,,0.0,,1.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,1678440595,1678440595,21.367313,21.367313,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
31,1678440595,1678440595,21.369078,21.369078,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
32,1678440607,1678440607,32.766633,32.766637,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,1678440611,1678440611,36.863032,36.863036,5e-06,4,0,240,0,60.0,,60.0,,60.0,,398778966.6,0.0,0,0,0.0,,0.0,,0.0,,1.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,1678440612,1678440612,37.886588,37.886593,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,1678440605,1678440605,30.471502,30.473456,0.001955,2,0,72,0,36.0,,36.0,,36.0,,294653.232,0.0,8,0,4.0,,4.0,,4.0,,0.00195384,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
36,1678440613,1678440613,38.910555,38.91056,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,1678440618,1678440618,44.030419,44.030423,5e-06,4,0,240,0,60.0,,60.0,,60.0,,398778966.6,0.0,0,0,0.0,,0.0,,0.0,,1.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
39,1678440610,1678440610,35.703289,35.703289,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
40,1678440610,1678440610,35.705367,35.705367,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
41,1678440619,1678440619,45.054394,45.054398,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,1678440623,1678440623,49.151204,49.151209,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
43,1678440612,1678440612,37.502535,37.502539,5e-06,4,0,1312,0,328.0,,328.0,,328.0,,2179991684.0,0.0,1200,0,300.0,,300.0,,300.0,,1.27e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
44,1678440624,1678440624,50.174416,50.17442,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,1678440625,1678440625,51.125883,51.125886,4e-06,4,0,1312,0,328.0,,328.0,,328.0,,2718450560.0,0.0,1200,0,300.0,,300.0,,300.0,,9.54e-07,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
46,1678440617,1678440617,42.472261,42.474127,0.001867,2,0,72,0,36.0,,36.0,,36.0,,308499.446,0.0,8,0,4.0,,4.0,,4.0,,0.001866102,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
49,1678440626,1678440626,51.956097,52.219139,0.263043,16,0,960,0,60.0,,60.0,,60.0,,29196.724,0.0,0,0,0.0,,0.0,,0.0,,0.017536147,,,,,,,,,,,,,,,,,,,,,,,,,,1
50,1678440601,1678440601,27.338101,27.338101,1e-06,1,0,105,0,105.0,,105.0,,105.0,,840000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,1678440600,1678440600,25.735778,25.735778,1e-06,1,0,116,0,116.0,,116.0,,116.0,,928000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,1678440629,1678440629,55.294911,55.294916,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
54,1678440622,1678440622,47.737049,47.737049,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
58,1678440631,1678440631,57.342332,57.342336,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
59,1678440636,1678440636,61.438916,61.43892,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,1678440637,1678440637,62.627455,62.68317,0.055716,8,0,480,0,60.0,,60.0,,60.0,,68920.852,0.0,0,0,0.0,,0.0,,0.0,,0.007959298,,,,,,,,,,,,,,,,,,,,,,,,,,1
64,1678440638,1678440638,63.486454,63.486458,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
65,1678440642,1678440642,67.582965,67.582969,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,1678440643,1678440643,68.606446,68.60645,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,1678440644,1678440644,69.630377,69.630382,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
69,1678440631,1678440631,56.695161,56.695161,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
71,1678440648,1678440648,73.726908,73.726912,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,1678440649,1678440649,74.750468,74.750472,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
73,1678440641,1678440641,66.482372,66.484399,0.002028,2,0,72,0,36.0,,36.0,,36.0,,284018.801,0.0,8,0,4.0,,4.0,,4.0,,0.002027035,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
75,1678440649,1678440649,74.616948,74.616948,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
76,1678440650,1678440650,75.774352,75.774356,5e-06,4,0,240,0,60.0,,60.0,,60.0,,398778966.6,0.0,0,0,0.0,,0.0,,0.0,,1.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,1678440631,1678440631,57.339367,57.339367,1e-06,1,0,105,0,105.0,,105.0,,105.0,,840000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
80,1678440630,1678440630,55.736942,55.736942,1e-06,1,0,116,0,116.0,,116.0,,116.0,,928000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81,1678440656,1678440656,81.918408,81.918412,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
82,1678440660,1678440660,86.014803,86.014807,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
83,1678440660,1678440660,85.649167,85.649685,0.000519,3,0,351,0,117.0,,117.0,,117.0,,5412019.327,0.0,0,0,0.0,,0.0,,0.0,,0.000258923,,,,,,,,,,,,,,,,,,,,,,,,,,0
84,1678440661,1678440661,87.038482,87.038487,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
86,1678440662,1678440662,88.062396,88.0624,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
89,1678440654,1678440654,79.673077,79.673077,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
90,1678440667,1678440667,93.182482,93.182487,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
91,1678440668,1678440668,94.206372,94.206376,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
92,1678440672,1678440672,98.303047,98.303051,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
93,1678440673,1678440673,99.326573,99.326577,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
94,1678440629,1678440629,54.75916,54.759163,4e-06,4,0,1312,0,328.0,,328.0,,328.0,,2718450560.0,0.0,1200,0,300.0,,300.0,,300.0,,9.54e-07,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
96,1678440668,1678440668,93.815163,93.815163,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
97,1678440668,1678440668,93.816918,93.816918,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
98,1678440674,1678440674,100.350437,100.350441,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
99,1678440679,1678440679,104.446981,104.446985,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
100,1678440680,1678440680,105.470487,105.470491,5e-06,4,0,240,0,60.0,,60.0,,60.0,,398778966.6,0.0,0,0,0.0,,0.0,,0.0,,1.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
101,1678440681,1678440681,106.494511,106.494516,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
102,1678440685,1678440685,110.591303,110.591308,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
105,1678440677,1678440677,103.365568,103.365568,1e-06,1,0,36,0,36.0,,36.0,,36.0,,288000000.0,0.0,4,0,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1
